timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:40:23.366,4,3,50538,81559,37,125.04,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:23.372,5,3,51924,81559,31,119.43,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:23.379,6,3,51022,81559,34,125.25,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:23.385,7,79,49442,81559,28,120.46,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:25.304,0,9,30580,81559,34,123.15,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:25.312,1,3,30514,81559,33,120.03,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:25.319,2,3,30514,81559,30,122.00,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:25.323,3,1,29798,81559,33,123.62,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:25.328,4,9,30730,81559,37,123.29,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:25.332,5,10,31012,81559,30,119.43,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:25.337,6,9,30892,81559,34,124.05,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:25.341,7,9,30372,81559,28,118.13,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:27.081,0,10,30580,81559,34,122.93,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:27.104,1,10,30514,81559,33,120.11,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:27.112,2,9,30514,81559,30,121.95,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
